date,open,high,close,low,volume,price_change,p_change
2016-05-20,2018.382,2065.301,2065.301,2013.532,10424853.0,27.898,1.37
2016-05-19,2023.958,2076.484,2037.403,2023.958,12323461.0,16.928,0.84
2016-05-18,2062.811,2062.811,2020.475,2000.526,12268130.0,-60.965,-2.93
2016-05-17,2059.515,2107.731,2081.44,2036.884,13540442.0,23.583,1.15
2016-05-16,2017.843,2057.857,2057.857,2008.54,9415721.0,32.634,1.61
2016-05-13,2030.941,2058.656,2025.223,2013.863,8301000.5,-9.342,-0.46
2016-05-12,2006.258,2039.318,2034.565,1975.065,9177546.0,-0.36,-0.02
2016-05-11,2067.69,2073.834,2034.925,2032.296,9382617.0,-19.297,-0.94
2016-05-10,2051.376,2067.617,2054.222,2044.281,7658732.0,0.625,0.03
2016-05-09,2107.333,2107.333,2053.597,2045.122,12230331.0,-75.597,-3.55
2016-05-06,2226.444,2235.959,2129.194,2129.194,16054793.0,-94.901,-4.27
2016-05-05,2208.397,2226.553,2224.095,2198.762,10800328.0,13.077,0.59
2016-05-04,2210.13,2233.591,2211.018,2206.264,13671722.0,-6.212,-0.28
2016-05-03,2138.963,2217.23,2217.23,2126.874,14551232.0,78.492,3.67
2016-04-29,2141.58,2162.194,2138.738,2138.738,8024640.0,-16.491,-0.77
2016-04-28,2149.102,2158.492,2155.229,2108.268,10123270.0,8.618,0.4
2016-04-27,2162.762,2176.333,2146.611,2142.462,10479200.0,-9.086,-0.42
2016-04-26,2123.874,2155.697,2155.697,2119.379,8911518.0,28.863,1.36
2016-04-25,2128.655,2130.06,2126.834,2083.635,9557991.0,-10.09,-0.47
2016-04-22,2093.781,2136.924,2136.924,2090.95,10471912.0,26.762,1.27
2016-04-21,2135.932,2160.258,2110.162,2106.968,12784063.0,-35.077,-1.64
2016-04-20,2279.758,2284.104,2145.239,2119.424,21667036.0,-127.281,-5.6
2016-04-19,2278.307,2289.049,2272.52,2253.592,13004320.0,6.927,0.31
2016-04-18,2288.42,2288.42,2265.593,2249.339,14309772.0,-44.083,-1.91
2016-04-15,2328.312,2328.312,2309.676,2297.675,14526977.0,-14.718,-0.63
2016-04-14,2310.596,2325.378,2324.394,2289.567,18334978.0,30.379,1.32
2016-04-13,2278.522,2330.055,2294.015,2278.522,21776634.0,29.999,1.32
2016-04-12,2283.211,2289.545,2264.016,2236.442,17078210.0,-19.127,-0.84
2016-04-11,2255.069,2301.412,2283.143,2255.069,19946626.0,53.209,2.39
2016-04-08,2230.951,2239.805,2229.934,2194.234,17946972.0,-18.75,-0.83
2016-04-07,2310.923,2316.629,2248.684,2248.684,20302346.0,-48.357,-2.1
